0.01,0.00187358,0.00118257,0.00072653
0.02,0.00366696,0.00244535,0.00129267
0.03,0.00550607,0.00370249,0.00182998
0.04,0.00730749,0.00483407,0.00234046
0.05,0.00891344,0.00596921,0.00282599
0.06,0.0102975,0.00678681,0.00324817
0.07,0.0115955,0.00754973,0.00365156
0.08,0.012653,0.00826181,0.00399737
0.09,0.0136474,0.00880629,0.0042896
0.1,0.0144626,0.00939543,0.00457215
0.11,0.0152718,0.0101063,0.00488583
0.12,0.015995,0.0106497,0.00510806
0.13,0.016558,0.0114383,0.00532557
0.14,0.0171327,0.0122546,0.00549853
0.15,0.017718,0.0130564,0.00563004
0.16,0.0181929,0.0138848,0.00580324
0.17,0.0186054,0.0146979,0.00593497
0.18,0.0191602,0.0153765,0.00602811
0.19,0.0198074,0.0160903,0.00616561
0.2,0.0203398,0.016877,0.00622408
0.21,0.020926,0.0173707,0.00620891
0.22,0.0214018,0.017712,0.0061654
0.23,0.0219754,0.0179919,0.00613567
0.24,0.0225197,0.018335,0.00607871
0.25,0.0230367,0.0186567,0.00599637
0.26,0.0236085,0.0190788,0.00585039
0.27,0.0240308,0.0193535,0.00576544
0.28,0.0243142,0.0196516,0.00585763
0.29,0.0247489,0.0199715,0.00599424
0.3,0.0250438,0.0201513,0.00609188
0.31,0.0251283,0.0204814,0.0061935
0.32,0.0251375,0.0209515,0.00629884
0.33,0.025197,0.0214714,0.00640758
0.34,0.0252231,0.0219976,0.0065997
0.35,0.0251779,0.0223692,0.00678906
0.36,0.0251067,0.0227574,0.00693583
0.37,0.0250112,0.0233216,0.00712327
0.38,0.0250135,0.0241295,0.00742878
0.39,0.0250264,0.0248433,0.00768353
0.4,0.0250492,0.0255499,0.00789111
0.41,0.0248807,0.0264903,0.00797471
0.42,0.0246947,0.0273274,0.00798297
0.43,0.0245325,0.0280283,0.00796126
0.44,0.0242722,0.0287228,0.00803205
0.45,0.0241613,0.0294915,0.00806857
0.46,0.0241491,0.0301289,0.00799293
0.47,0.0242289,0.0307242,0.00793334
0.48,0.0241535,0.0312803,0.00796888
0.49,0.0241744,0.0316797,0.00801264
0.5,0.0242047,0.0321741,0.00806413
0.51,0.0241635,0.0326364,0.00824308
0.52,0.0241361,0.0330288,0.00834003
0.53,0.0240411,0.0335568,0.00828058
0.54,0.0240437,0.0339301,0.00819589
0.55,0.0239768,0.0341595,0.00816793
0.56,0.0238051,0.0342952,0.00803232
0.57,0.0236962,0.0344241,0.00779663
0.58,0.0238063,0.0344662,0.00758816
0.59,0.0238394,0.0344679,0.0073649
0.6,0.023921,0.0345122,0.00720815
0.61,0.0240479,0.034596,0.00707314
0.62,0.0241366,0.0347968,0.00691827
0.63,0.0243503,0.0349059,0.00674485
0.64,0.0244394,0.0351303,0.00655426
0.65,0.0246936,0.0352614,0.00634763
