time[sec],ax[m/s^2],ay[m/s^2],az[m/s^2],gx[rad/s],gy[rad/s],gz[rad/s]
4.580,0.287,-0.177,9.479,-0.027,0.008,0.006
4.590,0.311,-0.163,9.513,-0.025,0.009,0.008
4.600,0.249,-0.206,9.470,-0.028,0.011,0.012
4.610,0.311,-0.139,9.523,-0.027,0.011,0.008
4.620,0.316,-0.168,9.570,-0.030,0.010,0.007
4.630,0.273,-0.192,9.599,-0.026,0.012,0.011
4.640,0.321,-0.172,9.441,-0.026,0.012,0.011
4.650,0.297,-0.192,9.508,-0.026,0.011,0.010
4.660,0.263,-0.172,9.489,-0.025,0.008,0.011
4.670,0.292,-0.163,9.417,-0.028,0.010,0.012
4.680,0.273,-0.129,9.499,-0.024,0.011,0.010
4.690,0.297,-0.139,9.479,-0.026,0.009,0.007
4.700,0.263,-0.144,9.542,-0.028,0.012,0.009
4.710,0.259,-0.196,9.499,-0.028,0.007,0.011
4.720,0.201,-0.163,9.465,-0.024,0.009,0.010
4.730,0.268,-0.168,9.561,-0.026,0.014,0.009
4.740,0.254,-0.168,9.527,-0.025,0.009,0.009
4.750,0.326,-0.187,9.527,-0.029,0.012,0.008
4.760,0.259,-0.182,9.388,-0.025,0.014,0.009
4.770,0.244,-0.187,9.403,-0.027,0.009,0.010
4.780,0.268,-0.220,9.532,-0.027,0.006,0.011
4.790,0.211,-0.153,9.441,-0.026,0.007,0.011
4.800,0.273,-0.244,9.503,-0.026,0.006,0.011
4.810,0.206,-0.220,9.513,-0.028,0.009,0.011
4.820,0.216,-0.211,9.475,-0.028,0.014,0.009
4.830,0.244,-0.177,9.547,-0.026,0.007,0.008
4.840,0.249,-0.216,9.527,-0.028,0.007,0.007
4.850,0.345,-0.134,9.523,-0.028,0.008,0.010
4.860,0.196,-0.129,9.465,-0.027,0.013,0.009
4.870,0.230,-0.172,9.499,-0.025,0.009,0.009
4.880,0.235,-0.201,9.456,-0.027,0.010,0.010
4.890,0.225,-0.129,9.628,-0.029,0.009,0.010
4.900,0.369,-0.172,9.456,-0.027,0.012,0.010
4.910,0.206,-0.230,9.489,-0.025,0.013,0.008
4.920,0.345,-0.196,9.484,-0.031,0.014,0.012
4.930,0.273,-0.177,9.527,-0.029,0.012,0.007
4.940,0.230,-0.115,9.460,-0.028,0.008,0.006
4.950,0.230,-0.235,9.494,-0.026,0.008,0.007
4.960,0.268,-0.225,9.484,-0.027,0.010,0.008
4.970,0.292,-0.235,9.561,-0.027,0.012,0.011
4.980,0.235,-0.192,9.460,-0.029,0.013,0.009
4.990,0.316,-0.144,9.542,-0.031,0.006,0.009
5.000,0.230,-0.187,9.570,-0.027,0.014,0.008
5.010,0.235,-0.168,9.494,-0.031,0.016,0.011
5.020,0.211,-0.120,9.489,-0.026,0.008,0.007
5.030,0.316,-0.168,9.479,-0.027,0.009,0.010
5.040,0.216,-0.125,9.470,-0.028,0.009,0.012
5.050,0.273,-0.168,9.575,-0.028,0.012,0.007
5.060,0.278,-0.168,9.566,-0.025,0.008,0.009
5.070,0.254,-0.168,9.503,-0.027,0.015,0.011
5.080,0.278,-0.144,9.489,-0.026,0.012,0.010
5.090,0.340,-0.172,9.551,-0.025,0.009,0.009
5.100,0.278,-0.220,9.470,-0.028,0.011,0.010
5.110,0.254,-0.187,9.451,-0.028,0.010,0.010
5.120,0.268,-0.168,9.475,-0.028,0.010,0.011
5.130,0.263,-0.192,9.427,-0.027,0.011,0.010
5.140,0.263,-0.201,9.484,-0.023,0.009,0.009
5.150,0.354,-0.129,9.427,-0.031,0.007,0.012
5.160,0.249,-0.216,9.484,-0.023,0.015,0.011
5.170,0.220,-0.172,9.542,-0.026,0.014,0.010
5.180,0.268,-0.225,9.551,-0.029,0.012,0.011
5.190,0.254,-0.125,9.508,-0.024,0.010,0.012
5.200,0.249,-0.153,9.484,-0.026,0.015,0.009
5.210,0.249,-0.230,9.489,-0.028,0.014,0.009
5.220,0.268,-0.225,9.585,-0.029,0.014,0.010
5.230,0.158,-0.249,9.532,-0.030,0.009,0.010
5.240,0.244,-0.211,9.508,-0.023,0.009,0.009
5.250,0.230,-0.120,9.499,-0.027,0.011,0.011
5.260,0.335,-0.115,9.508,-0.027,0.010,0.006
5.270,0.287,-0.187,9.408,-0.032,0.009,0.010
5.280,0.292,-0.168,9.484,-0.026,0.013,0.011
5.290,0.321,-0.177,9.503,-0.027,0.011,0.010
5.300,0.220,-0.158,9.494,-0.027,0.012,0.011
5.310,0.335,-0.182,9.532,-0.029,0.010,0.007
5.320,0.244,-0.168,9.479,-0.025,0.010,0.008
5.330,0.235,-0.168,9.551,-0.030,0.010,0.011
5.340,0.311,-0.206,9.384,-0.023,0.007,0.010
5.350,0.240,-0.192,9.446,-0.027,0.009,0.009
5.360,0.230,-0.163,9.475,-0.032,0.006,0.010
5.370,0.297,-0.168,9.446,-0.026,0.011,0.009
5.380,0.259,-0.139,9.561,-0.031,0.009,0.011
5.390,0.230,-0.206,9.494,-0.026,0.014,0.011
5.400,0.259,-0.172,9.599,-0.026,0.009,0.008
5.410,0.216,-0.196,9.518,-0.026,0.007,0.011
5.420,0.259,-0.168,9.412,-0.023,0.010,0.013
5.430,0.292,-0.211,9.604,-0.030,0.009,0.009
5.440,0.292,-0.163,9.479,-0.025,0.010,0.011
5.450,0.249,-0.120,9.518,-0.030,0.010,0.007
5.460,0.302,-0.134,9.494,-0.023,0.007,0.011
5.470,0.292,-0.192,9.441,-0.029,0.006,0.010
5.480,0.259,-0.172,9.489,-0.029,0.007,0.006
5.490,0.240,-0.187,9.527,-0.031,0.022,0.012
5.500,0.240,-0.148,9.456,-0.032,0.033,0.009
5.510,0.235,-0.158,9.523,-0.039,-0.004,0.008
5.520,0.287,-0.206,9.532,-0.030,-0.000,0.013
5.530,0.292,-0.240,9.475,-0.028,0.014,0.011
5.540,0.273,-0.206,9.494,-0.023,0.004,0.009
5.550,0.307,-0.206,9.441,-0.019,-0.012,0.007
5.560,0.340,-0.216,9.839,-0.023,0.010,0.010
5.570,0.192,-0.172,9.321,-0.026,0.019,0.012
5.580,0.230,-0.182,9.561,-0.027,0.002,0.007
5.590,0.316,-0.216,9.393,-0.034,0.015,0.009
5.600,0.254,-0.163,9.398,-0.027,0.008,0.008
5.610,0.249,-0.192,9.508,-0.029,0.005,0.010
5.620,0.402,-0.225,9.465,-0.029,0.017,0.011
5.630,0.216,-0.163,9.508,-0.027,0.024,0.011
5.640,0.235,-0.168,9.494,-0.029,0.014,0.011
5.650,0.230,-0.139,9.532,-0.027,0.010,0.010
5.660,0.263,-0.187,9.547,-0.026,0.013,0.008
5.670,0.225,-0.201,9.556,-0.027,0.018,0.011
5.680,0.278,-0.206,9.547,-0.031,0.001,0.008
5.690,0.254,-0.192,9.532,-0.032,0.013,0.012
5.700,0.254,-0.163,9.446,-0.027,0.014,0.009
5.710,0.297,-0.110,9.518,-0.029,0.008,0.013
5.720,0.230,-0.158,9.446,-0.032,0.008,0.011
5.730,0.268,-0.196,9.460,-0.027,0.007,0.012
5.740,0.307,-0.206,9.609,-0.031,-0.005,0.010
5.750,0.374,-0.230,9.479,-0.026,0.030,0.012
5.760,0.263,-0.216,9.422,-0.019,0.034,0.010
5.770,0.263,-0.201,9.398,-0.021,0.026,0.011
5.780,0.316,-0.206,9.542,-0.011,0.030,0.010
5.790,0.129,-0.168,9.427,-0.013,0.017,0.010
5.800,0.345,-0.206,9.614,-0.018,-0.003,0.010
5.810,0.316,-0.201,9.499,-0.023,-0.005,0.009
5.820,0.302,-0.220,9.556,-0.027,-0.009,0.008
5.830,0.340,-0.134,9.556,-0.035,0.012,0.009
5.840,0.283,-0.115,9.456,-0.036,0.008,0.011
5.850,0.211,-0.153,9.479,-0.037,-0.002,0.009
5.860,0.273,-0.196,9.518,-0.030,0.011,0.009
5.870,0.345,-0.201,9.417,-0.028,0.022,0.008
5.880,0.196,-0.182,9.470,-0.025,0.017,0.005
5.890,0.278,-0.177,9.403,-0.027,0.008,0.010
5.900,0.263,-0.211,9.518,-0.032,0.013,0.013
5.910,0.244,-0.196,9.470,-0.027,0.020,0.011
5.920,0.273,-0.225,9.561,-0.026,0.024,0.011
5.930,0.249,-0.158,9.614,-0.026,0.023,0.009
5.940,0.192,-0.158,9.489,-0.022,0.006,0.009
5.950,0.244,-0.168,9.594,-0.027,-0.003,0.011
5.960,0.302,-0.192,9.499,-0.034,-0.007,0.010
5.970,0.340,-0.182,9.604,-0.032,0.013,0.010
5.980,0.340,-0.158,9.388,-0.032,0.017,0.011
5.990,0.316,-0.192,9.580,-0.021,0.037,0.013
6.000,0.302,-0.259,9.460,-0.016,0.043,0.011
6.010,0.244,-0.177,9.590,-0.012,0.038,0.011
6.020,0.489,-0.216,9.192,-0.016,0.002,0.009
6.030,0.235,-0.192,9.551,-0.032,-0.041,0.007
6.040,0.254,-0.220,9.475,-0.024,0.007,0.010
6.050,0.273,-0.067,9.479,-0.028,0.001,0.008
6.060,0.292,-0.182,9.537,-0.037,-0.010,0.008
6.070,0.364,-0.249,9.532,-0.029,0.024,0.009
6.080,0.436,-0.187,9.657,-0.022,0.038,0.007
6.090,0.172,-0.129,9.638,-0.022,0.024,0.008
6.100,0.350,-0.120,9.594,-0.017,0.012,0.008
6.110,0.254,-0.220,9.456,-0.021,0.013,0.009
6.120,0.196,-0.235,9.523,-0.017,0.039,0.009
6.130,0.196,-0.148,9.618,-0.009,0.070,0.011
6.140,0.235,-0.211,9.580,-0.010,0.071,0.011
6.150,0.240,-0.158,9.345,-0.027,0.010,0.009
6.160,0.153,-0.144,9.590,-0.050,-0.008,0.015
6.170,0.412,-0.369,9.566,-0.037,-0.009,0.018
6.180,0.762,-0.508,9.503,-0.022,-0.009,0.065
6.190,0.053,-0.072,9.427,-0.004,-0.004,0.076
6.200,-0.321,0.220,9.408,-0.013,-0.011,0.026
6.210,0.287,-0.220,9.460,-0.021,-0.017,0.010
6.220,0.249,-0.182,9.753,-0.028,-0.007,0.012
6.230,0.374,-0.216,9.556,-0.036,0.025,0.020
6.240,0.580,-0.436,9.575,-0.018,0.055,0.056
6.250,0.431,-0.048,9.915,-0.041,0.068,0.072
6.260,0.168,0.230,9.800,-0.088,0.059,0.071
6.270,0.115,0.196,9.829,-0.150,0.012,0.049
6.280,0.388,-0.062,9.968,-0.196,-0.009,0.033
6.290,0.345,-0.570,10.035,-0.181,-0.041,0.036
6.300,0.067,-0.805,9.839,-0.132,-0.108,0.025
6.310,-0.077,-0.513,9.829,-0.104,-0.199,0.023
6.320,0.225,-0.129,10.414,-0.146,-0.219,0.016
6.330,0.129,-0.010,10.552,-0.210,-0.174,0.011
6.340,-0.081,-0.105,10.620,-0.237,-0.109,-0.012
6.350,-0.010,-0.441,10.634,-0.216,-0.022,-0.002
6.360,0.340,-0.422,10.433,-0.163,0.068,-0.010
6.370,0.378,-0.335,9.800,0.033,-0.134,0.004
6.380,0.407,-0.307,9.863,0.039,-0.136,-0.002
6.390,0.441,-0.335,9.939,0.041,-0.130,-0.003
6.400,0.350,-0.345,9.954,0.046,-0.124,-0.002
6.410,0.254,-0.297,9.992,0.042,-0.112,-0.004
6.420,0.153,-0.302,10.212,0.052,-0.047,-0.014
6.430,0.096,-0.105,10.557,0.036,0.045,-0.013
6.440,-0.029,-0.110,10.471,0.000,0.143,-0.007
6.450,-0.019,-0.125,10.346,-0.028,0.218,0.001
6.460,0.153,-0.182,9.968,-0.023,0.259,-0.003
6.470,0.283,-0.402,9.566,0.024,0.262,0.009
6.480,0.431,-0.613,9.484,0.088,0.213,0.029
6.490,0.508,-0.326,9.384,0.154,0.129,0.046
6.500,0.546,-0.010,9.202,0.173,0.012,0.032
6.510,0.517,0.187,9.278,0.159,-0.100,0.005
6.520,0.393,-0.077,9.427,0.135,-0.172,0.001
6.530,0.158,-0.182,9.877,0.133,-0.159,0.007
6.540,-0.139,-0.125,10.164,0.137,-0.070,0.010
6.550,-0.259,-0.187,10.394,0.128,0.044,0.009
6.560,-0.254,-0.177,10.409,0.093,0.176,0.012
6.570,-0.105,-0.220,10.375,0.075,0.309,0.015
6.580,0.120,-0.287,9.872,0.071,0.357,0.011
6.590,0.484,-0.287,9.652,0.074,0.341,0.008
6.600,0.455,-0.081,9.221,0.084,0.234,-0.015
6.610,0.335,-0.077,9.221,0.080,0.211,-0.017
6.620,0.326,0.182,9.163,0.050,0.129,-0.031
6.630,0.244,0.129,9.206,0.008,0.042,-0.040
6.640,0.029,-0.072,9.374,-0.029,-0.008,-0.045
6.650,-0.153,-0.283,9.949,-0.043,0.010,-0.034
6.660,-0.263,-0.307,10.141,-0.041,0.085,-0.011
6.670,-0.225,-0.144,10.193,-0.048,0.193,0.008
6.680,-0.168,0.110,10.112,-0.092,0.293,0.014
6.690,-0.029,0.177,9.733,-0.151,0.340,0.016
6.700,0.225,0.034,9.355,-0.195,0.326,0.005
6.710,0.651,-0.158,9.000,-0.191,0.245,-0.011
6.720,0.695,-0.354,8.842,-0.160,0.114,-0.015
6.730,0.445,-0.287,8.708,-0.123,-0.044,-0.021
6.740,0.292,-0.144,9.173,-0.081,-0.151,-0.039
6.750,-0.048,-0.220,9.494,-0.038,-0.192,-0.041
6.760,-0.321,-0.345,9.839,-0.007,-0.139,-0.030
6.770,-0.517,-0.345,10.174,0.010,-0.004,-0.012
6.780,-0.522,-0.115,10.021,0.002,0.138,-0.001
6.790,-0.287,-0.019,9.858,-0.022,0.265,0.013
6.800,0.201,-0.053,9.585,-0.043,0.322,0.021
6.810,0.345,0.072,9.350,-0.057,0.312,0.024
6.820,0.321,0.048,8.919,-0.057,0.239,0.008
6.830,0.220,-0.101,8.584,-0.042,0.122,-0.005
6.840,0.192,-0.115,8.996,-0.010,0.022,-0.015
6.850,0.311,-0.273,9.642,0.002,-0.015,0.004
6.860,0.019,-0.110,9.776,-0.013,-0.028,0.030
6.870,-0.364,-0.187,9.891,-0.022,-0.009,0.042
6.880,-0.599,-0.278,9.527,-0.011,0.030,0.060
6.890,-0.599,-0.254,9.360,0.041,0.094,0.062
6.900,-0.311,-0.249,9.269,0.081,0.153,0.065
6.910,-0.187,-0.081,9.211,0.086,0.166,0.062
6.920,-0.182,0.153,9.293,0.066,0.149,0.040
6.930,-0.129,0.206,8.751,0.024,0.091,-0.001
6.940,-0.077,0.101,8.718,-0.012,0.005,-0.038
6.950,0.053,-0.115,8.493,-0.018,-0.072,-0.066
6.960,0.249,-0.359,8.493,0.009,-0.155,-0.073
6.970,0.249,-0.417,8.555,0.051,-0.220,-0.055
6.980,0.024,-0.359,8.680,0.081,-0.279,-0.031
6.990,-0.091,-0.086,8.900,0.105,-0.303,-0.018
7.000,-0.297,-0.067,9.187,0.108,-0.268,-0.006
7.010,-0.436,-0.120,9.192,0.085,-0.203,0.016
7.020,-0.469,0.000,9.326,0.054,-0.135,0.037
7.030,-0.225,0.029,9.192,0.024,-0.074,0.048
7.040,-0.043,0.000,8.809,0.011,-0.097,0.044
7.050,0.105,-0.158,8.474,0.014,-0.230,0.041
7.060,0.287,-0.249,8.651,0.018,-0.360,0.027
7.070,0.297,-0.240,9.044,0.017,-0.411,0.034
7.080,0.206,-0.129,9.091,0.018,-0.429,0.047
7.090,0.005,-0.086,8.842,0.012,-0.459,0.041
7.100,0.182,-0.019,8.957,-0.003,-0.490,0.035
7.110,0.273,0.163,9.302,-0.041,-0.539,0.014
7.120,0.369,0.177,9.398,-0.102,-0.578,-0.006
7.130,0.168,0.153,9.681,-0.158,-0.567,-0.023
7.140,0.038,-0.101,9.580,-0.194,-0.506,-0.026
7.150,0.225,-0.407,9.048,-0.177,-0.479,0.003
7.160,0.398,-0.307,8.474,-0.112,-0.528,0.013
7.170,0.747,-0.091,8.363,-0.051,-0.625,0.017
7.180,0.838,-0.005,8.493,-0.020,-0.725,-0.001
7.190,0.881,0.057,8.747,-0.008,-0.839,-0.019
7.200,1.039,-0.024,9.187,-0.019,-0.895,-0.023
7.210,1.059,0.034,9.211,-0.052,-0.957,-0.029
7.220,1.183,-0.029,9.307,-0.092,-1.036,-0.028
7.230,1.432,-0.163,9.297,-0.119,-1.125,-0.036
7.240,1.327,-0.172,9.293,-0.121,-1.230,-0.053
7.250,1.245,-0.144,9.403,-0.135,-1.333,-0.071
7.260,1.322,-0.062,9.422,-0.139,-1.403,-0.089
7.270,1.619,-0.192,9.336,-0.123,-1.439,-0.072
7.280,1.729,-0.172,8.986,-0.089,-1.448,-0.045
7.290,2.055,-0.144,8.627,-0.039,-1.496,-0.029
7.300,2.419,-0.254,8.531,0.008,-1.590,-0.007
7.310,2.749,-0.187,8.287,0.049,-1.704,-0.007
7.320,3.080,-0.206,8.517,0.072,-1.822,-0.002
7.330,3.157,-0.091,9.465,0.059,-1.839,0.000
7.340,2.903,0.206,10.284,-0.022,-1.781,-0.022
7.350,2.510,0.331,10.265,-0.110,-1.734,-0.056
7.360,2.486,0.081,10.059,-0.167,-1.711,-0.098
7.370,2.941,-0.546,9.503,-0.159,-1.684,-0.101
7.380,3.396,-0.790,8.483,0.027,-1.691,-0.072
7.390,3.597,-0.508,8.248,0.120,-1.699,-0.061
7.400,4.000,-0.139,8.114,0.254,-1.714,-0.047
7.410,4.110,0.010,8.229,0.307,-1.770,-0.038
7.420,4.124,0.148,9.072,0.248,-1.798,-0.047
7.430,4.579,0.115,10.073,0.093,-1.768,-0.004
7.440,4.613,0.125,9.877,-0.067,-1.768,0.045
7.450,4.431,0.153,9.005,-0.151,-1.801,0.050
7.460,4.220,-0.010,8.244,-0.121,-1.894,0.020
7.470,4.287,-0.115,8.119,-0.056,-1.958,-0.009
7.480,4.560,-0.038,8.009,0.004,-1.976,-0.014
7.490,4.953,0.062,7.908,0.056,-1.983,-0.012
7.500,5.293,0.263,7.573,0.086,-1.995,-0.032
7.510,5.647,0.340,7.549,0.095,-2.016,-0.063
7.520,5.916,0.283,7.760,0.102,-2.013,-0.083
7.530,6.026,0.225,8.172,0.090,-1.973,-0.105
7.540,6.074,0.067,8.756,0.047,-1.856,-0.100
7.550,5.944,0.029,8.435,0.011,-1.734,-0.090
7.560,5.868,0.110,7.319,0.016,-1.728,-0.100
7.570,6.639,0.206,6.620,0.018,-1.825,-0.100
7.580,7.611,0.369,5.772,0.031,-2.016,-0.126
7.590,8.550,0.493,5.815,-0.003,-2.154,-0.065
7.600,7.075,-0.374,5.767,0.131,-2.284,-0.088
7.610,6.524,-0.450,6.524,0.287,-2.490,-0.041
7.620,7.051,0.067,7.415,0.278,-2.529,-0.019
7.630,7.650,0.383,8.105,0.179,-2.350,-0.045
7.640,7.540,0.422,8.157,0.067,-2.102,-0.048
7.650,7.171,0.091,7.511,-0.027,-1.931,-0.030
7.660,7.003,0.053,7.056,-0.072,-1.868,-0.049
7.670,7.463,0.158,6.586,-0.130,-1.911,-0.079
7.680,8.277,0.034,5.441,-0.177,-2.096,-0.077
7.690,8.900,0.038,4.273,-0.176,-2.365,-0.071
7.700,9.532,0.445,3.937,-0.126,-2.593,-0.108
7.710,9.824,0.110,4.282,0.001,-2.672,-0.171
7.720,9.896,-0.206,5.307,0.124,-2.617,-0.167
7.730,9.293,-0.216,5.858,0.164,-2.530,-0.143
7.740,8.756,-0.091,6.126,0.115,-2.445,-0.114
7.750,8.536,0.201,5.355,0.038,-2.452,-0.087
7.760,8.191,0.235,4.642,-0.006,-2.547,-0.111
7.770,8.818,0.326,4.019,-0.071,-2.611,-0.127
7.780,9.293,0.517,3.224,-0.148,-2.651,-0.111
7.790,9.446,0.584,2.280,-0.185,-2.653,-0.107
7.800,9.834,0.604,1.327,-0.155,-2.634,-0.103
7.810,10.351,0.441,1.518,-0.083,-2.596,-0.124
7.820,10.749,0.350,2.108,0.030,-2.466,-0.141
7.830,10.653,0.019,2.361,0.155,-2.357,-0.130
7.840,10.294,-0.278,2.979,0.230,-2.262,-0.099
7.850,9.796,-0.053,2.989,0.229,-2.192,-0.041
7.860,9.365,0.417,3.228,0.136,-2.089,-0.032
7.870,9.331,1.030,3.114,-0.032,-1.953,-0.075
7.880,9.767,0.915,2.237,-0.191,-1.830,-0.101
7.890,10.155,0.556,1.087,-0.258,-1.772,-0.091
7.900,10.811,0.513,-0.057,-0.266,-1.810,-0.045
7.910,10.940,0.378,-0.968,-0.228,-1.946,-0.034
7.920,10.883,0.489,-0.627,-0.177,-2.063,-0.065
7.930,10.773,0.455,-0.249,-0.104,-2.153,-0.092
7.940,10.351,-0.077,0.541,0.309,-2.112,0.013
7.950,10.346,0.014,0.345,0.304,-2.097,0.028
7.960,10.423,0.144,0.105,0.299,-2.086,0.041
7.970,10.485,0.263,-0.053,0.299,-2.075,0.056
7.980,10.538,0.311,-0.268,0.287,-2.066,0.069
7.990,10.696,0.661,-0.987,0.226,-2.052,0.105
8.000,10.869,0.881,-1.859,0.158,-2.040,0.105
8.010,11.161,1.269,-2.433,-0.007,-1.876,0.094
8.020,11.070,0.560,-2.381,-0.030,-1.732,0.122
8.030,10.519,-0.292,-1.777,0.083,-1.567,0.175
8.040,10.126,-0.340,-0.642,0.173,-1.335,0.212
8.050,9.805,0.125,-0.350,0.186,-1.067,0.216
8.060,9.575,0.316,0.000,0.150,-0.764,0.200
8.070,9.350,0.139,-0.211,0.090,-0.503,0.179
8.080,9.729,0.096,-0.513,0.043,-0.277,0.178
8.090,10.390,0.240,-0.508,0.002,-0.028,0.176
8.100,10.821,0.302,-0.996,-0.044,0.176,0.156
8.110,11.070,0.240,-1.653,-0.059,0.265,0.127
8.120,11.003,0.187,-2.165,-0.035,0.266,0.089
8.130,10.725,0.053,-2.242,0.012,0.213,0.069
8.140,10.275,0.081,-1.758,0.049,0.179,0.070
8.150,10.064,-0.005,-1.183,0.047,0.221,0.080
8.160,9.834,-0.062,-0.565,0.035,0.391,0.059
8.170,9.920,-0.024,-0.326,0.015,0.672,0.047
8.180,10.073,0.163,-0.297,-0.027,1.000,0.025
8.190,10.141,0.168,-0.402,-0.101,1.274,0.001
8.200,10.040,0.139,-0.560,-0.163,1.482,-0.040
8.210,10.198,-0.062,-1.102,-0.183,1.579,-0.083
8.220,10.447,-0.177,-1.648,-0.155,1.572,-0.093
8.230,10.624,-0.225,-2.021,-0.113,1.497,-0.072
8.240,10.682,0.115,-1.427,-0.100,1.495,-0.044
8.250,10.782,0.407,-0.857,-0.115,1.626,-0.037
8.260,10.643,0.134,-0.441,-0.143,1.835,-0.031
8.270,10.188,0.000,-0.374,-0.136,1.946,-0.018
8.280,9.844,-0.148,-0.465,-0.105,1.984,0.008
8.290,9.872,-0.096,-0.211,-0.074,2.016,0.017
8.300,10.112,0.024,0.613,-0.078,2.141,-0.001
8.310,10.236,0.110,1.025,-0.108,2.342,-0.011
8.320,10.035,0.086,1.059,-0.114,2.540,-0.008
8.330,10.059,-0.053,0.489,-0.072,2.626,0.015
8.340,10.155,-0.062,0.105,-0.012,2.526,0.010
8.350,10.629,0.029,0.230,0.035,2.328,-0.030
8.360,10.888,0.057,0.872,0.041,2.111,-0.063
8.370,10.538,0.144,1.365,-0.005,1.945,-0.084
8.380,9.939,0.307,1.657,-0.085,1.947,-0.079
8.390,9.628,-0.024,2.261,-0.132,2.142,-0.025
8.400,9.748,-0.589,2.999,-0.090,2.584,0.088
8.410,9.887,-0.369,3.243,0.006,3.046,0.171
8.420,10.442,0.460,2.764,0.044,3.304,0.161
8.430,10.682,1.035,1.973,-0.003,3.172,0.088
8.440,10.672,0.733,1.629,-0.060,2.748,0.028
8.450,10.557,0.292,1.926,-0.099,2.151,0.001
8.460,10.160,-0.115,2.903,-0.089,1.666,-0.021
8.470,9.570,-0.350,4.311,-0.052,1.495,-0.027
8.480,8.732,-0.287,5.590,-0.058,1.693,-0.008
8.490,8.373,0.240,6.649,-0.168,2.191,0.028
8.500,8.780,0.584,6.701,-0.329,2.738,0.057
8.510,9.091,0.656,6.179,-0.429,3.079,0.074
8.520,8.909,0.201,5.111,-0.427,3.074,0.077
8.530,9.077,-0.168,4.345,-0.354,2.741,0.077
8.540,9.336,-0.062,4.416,-0.250,2.269,0.073
8.550,9.360,0.225,5.049,-0.200,1.918,0.046
8.560,8.656,0.192,5.820,-0.168,1.796,0.028
8.570,7.760,-0.077,6.457,-0.119,2.052,0.085
8.580,7.477,0.163,7.099,-0.104,2.432,0.185
8.590,7.645,0.024,7.396,-0.160,2.723,0.226
8.600,7.928,0.139,6.768,-0.238,2.703,0.233
8.610,7.913,0.460,5.844,-0.283,2.362,0.175
8.620,8.181,0.201,5.537,-0.295,1.876,0.133
8.630,8.114,-0.187,5.676,-0.233,1.442,0.125
8.640,7.449,-0.398,6.251,-0.081,1.170,0.132
8.650,6.931,-0.398,7.904,0.064,1.228,0.153
8.660,6.543,-0.144,8.876,0.104,1.642,0.181
8.670,6.050,0.393,8.368,0.089,2.107,0.244
8.680,5.978,0.445,7.482,0.032,2.316,0.252
8.690,6.083,0.182,6.778,0.024,2.173,0.199
8.700,6.433,-0.196,6.831,0.066,1.862,0.158
8.710,6.289,-0.417,7.468,0.141,1.508,0.115
8.720,6.007,-0.508,8.689,0.214,1.365,0.078
8.730,5.461,-0.187,9.240,0.253,1.429,0.061
8.740,5.087,-0.081,9.058,0.248,1.563,0.061
8.750,4.948,-0.120,8.933,0.212,1.801,0.088
8.760,4.460,-0.378,8.809,0.219,1.996,0.132
8.770,4.009,-0.335,9.154,0.257,2.186,0.146
8.780,4.464,0.287,9.714,0.278,2.450,0.085
8.790,5.044,0.259,9.652,0.239,2.746,0.013
8.800,4.982,0.000,9.403,0.167,3.020,-0.061
8.810,5.173,-0.287,8.689,0.100,3.157,-0.126
8.820,5.327,-0.196,8.076,0.055,3.057,-0.118
8.830,5.121,0.158,7.611,0.029,2.748,-0.048
8.840,4.321,0.354,7.310,0.007,2.310,-0.033
8.850,3.640,0.374,7.966,-0.046,1.881,-0.024
8.860,2.960,0.479,8.589,-0.095,1.670,-0.025
8.870,2.706,0.350,9.302,-0.164,1.727,-0.019
8.880,2.582,0.168,9.657,-0.234,1.965,-0.022
8.890,2.601,-0.311,9.120,-0.228,2.278,-0.011
8.900,2.390,-0.623,8.483,-0.157,2.430,0.039
8.910,2.577,0.005,8.292,-0.096,2.476,0.128
8.920,2.395,0.565,8.081,-0.087,2.365,0.145
8.930,1.983,0.604,8.119,-0.130,2.044,0.107
8.940,1.447,0.340,8.086,-0.167,1.580,0.067
8.950,1.011,0.158,8.387,-0.182,1.135,0.039
8.960,1.083,0.053,8.612,-0.188,0.834,0.003
8.970,1.054,-0.177,8.550,-0.167,0.570,-0.014
8.980,1.130,-0.331,9.374,-0.093,0.341,-0.026
8.990,0.728,-0.335,10.452,-0.034,0.291,-0.015
9.000,0.307,-0.388,10.782,-0.030,0.436,0.006
9.010,0.024,0.029,10.236,-0.057,0.640,0.030
9.020,0.364,0.278,10.150,-0.091,0.927,0.046
9.030,0.685,0.172,9.580,-0.127,1.250,0.074
9.040,0.790,0.105,8.589,-0.146,1.464,0.081
9.050,1.083,0.134,8.239,-0.128,1.517,0.074
9.060,1.011,-0.034,8.670,-0.064,1.478,0.055
9.070,0.393,-0.273,9.623,-0.030,1.422,0.029
9.080,-0.259,-0.364,9.882,-0.018,1.337,0.006
9.090,-0.498,-0.331,10.356,0.006,1.320,0.002
9.100,-0.666,-0.034,10.864,-0.005,1.461,0.022
9.110,-0.886,-0.053,10.907,-0.036,1.694,0.050
9.120,-1.236,0.005,10.500,-0.094,1.941,0.078
9.130,-1.202,0.273,9.805,-0.150,2.150,0.084
9.140,-0.747,0.081,9.206,-0.162,2.283,0.083
9.150,-0.460,-0.115,8.488,-0.128,2.251,0.083
9.160,-0.723,-0.182,8.469,-0.079,2.080,0.071
9.170,-1.035,-0.283,8.948,-0.011,1.919,0.061
