time[sec],ax[m/s^2],ay[m/s^2],az[m/s^2],gx[rad/s],gy[rad/s],gz[rad/s]
1.050,0.259,-0.158,9.436,-0.026,0.012,0.010
1.060,0.287,-0.249,9.508,-0.023,0.010,0.012
1.070,0.307,-0.244,9.537,-0.030,0.010,0.011
1.080,0.254,-0.168,9.489,-0.023,0.005,0.010
1.090,0.182,-0.187,9.460,-0.025,0.009,0.009
1.100,0.259,-0.187,9.551,-0.025,0.009,0.008
1.110,0.220,-0.139,9.494,-0.030,0.010,0.010
1.120,0.292,-0.216,9.408,-0.027,0.008,0.010
1.130,0.283,-0.220,9.503,-0.027,0.009,0.007
1.140,0.302,-0.206,9.489,-0.027,0.013,0.010
1.150,0.273,-0.177,9.460,-0.028,0.009,0.008
1.160,0.331,-0.158,9.570,-0.032,0.009,0.011
1.170,0.292,-0.134,9.523,-0.030,0.011,0.008
1.180,0.263,-0.144,9.479,-0.028,0.011,0.011
1.190,0.268,-0.196,9.537,-0.025,0.009,0.011
1.200,0.302,-0.196,9.547,-0.025,0.010,0.011
1.210,0.278,-0.105,9.570,-0.030,0.012,0.010
1.220,0.211,-0.120,9.451,-0.025,0.011,0.008
1.230,0.259,-0.172,9.537,-0.028,0.013,0.009
1.240,0.225,-0.110,9.508,-0.027,0.008,0.009
1.250,0.297,-0.187,9.470,-0.026,0.009,0.011
1.260,0.225,-0.182,9.537,-0.022,0.012,0.009
1.270,0.287,-0.235,9.479,-0.026,0.007,0.010
1.280,0.287,-0.153,9.532,-0.029,0.013,0.010
1.290,0.230,-0.158,9.513,-0.030,0.011,0.008
1.300,0.283,-0.158,9.484,-0.025,0.009,0.012
1.310,0.244,-0.182,9.489,-0.029,0.010,0.007
1.320,0.297,-0.206,9.489,-0.026,0.012,0.007
1.330,0.287,-0.206,9.585,-0.026,0.014,0.009
1.340,0.287,-0.172,9.432,-0.027,0.012,0.011
1.350,0.192,-0.168,9.508,-0.027,0.005,0.008
1.360,0.278,-0.196,9.499,-0.029,0.015,0.009
1.370,0.287,-0.187,9.489,-0.026,0.011,0.011
1.380,0.120,-0.220,9.542,-0.029,0.013,0.009
1.390,0.335,-0.187,9.494,-0.031,0.009,0.008
1.400,0.287,-0.168,9.609,-0.022,0.013,0.011
1.410,0.321,-0.172,9.484,-0.026,0.009,0.008
1.420,0.311,-0.153,9.527,-0.021,0.010,0.012
1.430,0.230,-0.153,9.499,-0.029,0.011,0.010
1.440,0.268,-0.163,9.532,-0.027,0.015,0.010
1.450,0.244,-0.172,9.527,-0.032,0.010,0.011
1.460,0.259,-0.153,9.503,-0.031,0.009,0.008
1.470,0.254,-0.153,9.523,-0.026,0.015,0.012
1.480,0.254,-0.120,9.513,-0.026,0.011,0.008
1.490,0.225,-0.192,9.566,-0.030,0.010,0.007
1.500,0.230,-0.273,9.503,-0.028,0.003,0.009
1.510,0.287,-0.158,9.508,-0.028,0.009,0.008
1.520,0.244,-0.192,9.532,-0.029,0.011,0.008
1.530,0.268,-0.182,9.460,-0.025,0.008,0.013
1.540,0.307,-0.240,9.446,-0.028,0.011,0.010
1.550,0.307,-0.182,9.547,-0.030,0.007,0.010
1.560,0.287,-0.206,9.532,-0.028,0.010,0.012
1.570,0.263,-0.182,9.542,-0.027,0.013,0.014
1.580,0.283,-0.148,9.484,-0.027,0.009,0.008
1.590,0.230,-0.230,9.494,-0.031,0.010,0.011
1.600,0.292,-0.182,9.542,-0.026,0.013,0.011
1.610,0.268,-0.148,9.412,-0.024,0.011,0.009
1.620,0.206,-0.168,9.532,-0.026,0.015,0.012
1.630,0.259,-0.249,9.484,-0.028,0.010,0.007
1.640,0.240,-0.196,9.503,-0.025,0.014,0.007
1.650,0.249,-0.172,9.503,-0.028,0.010,0.012
1.660,0.302,-0.125,9.532,-0.026,0.011,0.010
1.670,0.311,-0.139,9.465,-0.032,0.013,0.011
1.680,0.273,-0.153,9.451,-0.027,0.010,0.010
1.690,0.249,-0.168,9.422,-0.030,0.011,0.010
1.700,0.225,-0.168,9.527,-0.026,0.008,0.009
1.710,0.263,-0.182,9.508,-0.027,0.007,0.010
1.720,0.268,-0.163,9.532,-0.029,0.012,0.008
1.730,0.196,-0.172,9.432,-0.025,0.012,0.009
1.740,0.311,-0.177,9.556,-0.025,0.013,0.011
1.750,0.249,-0.240,9.412,-0.026,0.014,0.009
1.760,0.302,-0.192,9.484,-0.028,0.011,0.005
1.770,0.273,-0.158,9.537,-0.027,0.013,0.009
1.780,0.244,-0.216,9.556,-0.026,0.011,0.009
1.790,0.220,-0.177,9.460,-0.028,0.014,0.013
1.800,0.283,-0.240,9.470,-0.026,0.006,0.008
1.810,0.283,-0.187,9.575,-0.027,0.012,0.010
1.820,0.263,-0.139,9.494,-0.024,0.010,0.009
1.830,0.292,-0.158,9.566,-0.031,0.006,0.010
1.840,0.283,-0.206,9.484,-0.028,0.010,0.008
1.850,0.292,-0.144,9.432,-0.030,0.004,0.008
1.860,0.254,-0.196,9.470,-0.027,0.011,0.012
1.870,0.292,-0.182,9.547,-0.027,0.010,0.011
1.880,0.240,-0.177,9.460,-0.023,0.011,0.011
1.890,0.225,-0.163,9.475,-0.028,0.013,0.009
1.900,0.321,-0.120,9.513,-0.026,0.012,0.010
1.910,0.249,-0.139,9.580,-0.027,0.012,0.008
1.920,0.244,-0.168,9.508,-0.025,0.009,0.012
1.930,0.230,-0.196,9.518,-0.027,0.005,0.009
1.940,0.259,-0.201,9.479,-0.023,0.009,0.009
1.950,0.240,-0.163,9.556,-0.027,0.013,0.009
1.960,0.177,-0.196,9.503,-0.026,0.007,0.009
1.970,0.244,-0.158,9.542,-0.028,0.012,0.011
1.980,0.254,-0.144,9.494,-0.024,0.012,0.010
1.990,0.307,-0.192,9.614,-0.024,0.008,0.010
2.000,0.240,-0.120,9.365,-0.023,0.018,0.007
2.010,0.283,-0.182,9.479,-0.026,0.005,0.012
